2026-05-21T13:24:47+0530 | DEBUG    | trading_bot.client | _request:61 | [a7c42fdd] GET /fapi/v1/time params={}
2026-05-21T13:24:48+0530 | DEBUG    | trading_bot.client | _request:82 | [a7c42fdd] status=200 latency=615ms body={"serverTime":1779350089036}
2026-05-21T13:24:48+0530 | DEBUG    | trading_bot.client | check_clock_skew:126 | Clock skew: 848ms (OK)
2026-05-21T13:24:48+0530 | DEBUG    | trading_bot.client | _request:61 | [7e656c0f] GET /fapi/v2/account params={'timestamp': 1779350088188, 'recvWindow': 5000, 'signature': '2c38dccd***'}
2026-05-21T13:24:48+0530 | DEBUG    | trading_bot.client | _request:82 | [7e656c0f] status=200 latency=481ms body={"feeTier":0,"canTrade":true,"canDeposit":true,"canWithdraw":true,"feeBurn":true,"tradeGroupId":-1,"updateTime":0,"multiAssetsMargin":false,"totalInitialMargin":"0.00000000","totalMaintMargin":"0.00000000","totalWalletBalance":"5000.00000000","totalUnrealizedProfit":"0.00000000","totalMarginBalance":"5000.00000000","totalPositionInitialMargin":"0.00000000","totalOpenOrderInitialMargin":"0.00000000","totalCrossWalletBalance":"5000.00000000","totalCrossUnPnl":"0.00000000","availableBalance":"5000.
2026-05-21T13:25:32+0530 | INFO     | trading_bot.orders | place_order:17 | Placing MARKET BUY order: BTCUSDT qty=0.001 price=None
2026-05-21T13:25:32+0530 | DEBUG    | trading_bot.client | _request:61 | [05bdf13d] POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1779350132797, 'recvWindow': 5000, 'signature': '342b2aa6***'}
2026-05-21T13:25:33+0530 | DEBUG    | trading_bot.client | _request:82 | [05bdf13d] status=200 latency=653ms body={"orderId":13171438541,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"A3fEmkBECuAkBXEBYvQxKq","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updat
2026-05-21T13:25:33+0530 | INFO     | trading_bot.orders | place_order:22 | Order accepted: orderId=13171438541 status=NEW
2026-05-21T13:25:57+0530 | INFO     | trading_bot.orders | place_order:17 | Placing LIMIT BUY order: BTCUSDT qty=0.001 price=45000
2026-05-21T13:25:57+0530 | DEBUG    | trading_bot.client | _request:61 | [2bc08cf0] POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.001', 'timeInForce': 'GTC', 'price': '45000.00', 'timestamp': 1779350157022, 'recvWindow': 5000, 'signature': '18ca8679***'}
2026-05-21T13:25:58+0530 | DEBUG    | trading_bot.client | _request:82 | [2bc08cf0] status=400 latency=1491ms body={"code":-4164,"msg":"Order's notional must be no smaller than 50 (unless you choose reduce only)."}
2026-05-21T13:25:58+0530 | ERROR    | trading_bot.client | _request:95 | [2bc08cf0] Binance API error 400: [-4164] Order's notional must be no smaller than 50 (unless you choose reduce only).
2026-05-21T13:25:58+0530 | ERROR    | trading_bot.cli | main:134 | Binance API error: HTTP 400: [-4164] Order's notional must be no smaller than 50 (unless you choose reduce only).
2026-05-21T13:26:12+0530 | INFO     | trading_bot.orders | place_order:17 | Placing STOP SELL order: BTCUSDT qty=0.001 price=43500
2026-05-21T13:26:12+0530 | DEBUG    | trading_bot.client | _request:61 | [33192769] POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP', 'quantity': '0.001', 'timeInForce': 'GTC', 'price': '43500.00', 'stopPrice': '44000.00', 'timestamp': 1779350172859, 'recvWindow': 5000, 'signature': '2afa1ccc***'}
2026-05-21T13:26:13+0530 | DEBUG    | trading_bot.client | _request:82 | [33192769] status=400 latency=639ms body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-05-21T13:26:13+0530 | ERROR    | trading_bot.client | _request:95 | [33192769] Binance API error 400: [-4120] Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-05-21T13:26:13+0530 | ERROR    | trading_bot.cli | main:134 | Binance API error: HTTP 400: [-4120] Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-05-21T13:26:28+0530 | INFO     | trading_bot.orders | place_order:17 | Placing LIMIT BUY order: BTCUSDT qty=0.002 price=45000
2026-05-21T13:26:28+0530 | DEBUG    | trading_bot.client | _request:61 | [ebf5f502] POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.002', 'timeInForce': 'GTC', 'price': '45000.00', 'timestamp': 1779350188984, 'recvWindow': 5000, 'signature': '84a70947***'}
2026-05-21T13:26:29+0530 | DEBUG    | trading_bot.client | _request:82 | [ebf5f502] status=200 latency=615ms body={"orderId":13171440849,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"Vqj3jKK2axGV0aRcc5foEZ","price":"45000.00","avgPrice":"0.00","origQty":"0.0020","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"upd
2026-05-21T13:26:29+0530 | INFO     | trading_bot.orders | place_order:22 | Order accepted: orderId=13171440849 status=NEW
2026-05-21T13:26:35+0530 | INFO     | trading_bot.orders | place_order:17 | Placing STOP SELL order: BTCUSDT qty=0.002 price=43500
2026-05-21T13:26:35+0530 | DEBUG    | trading_bot.client | _request:61 | [8fd18007] POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP', 'quantity': '0.002', 'timeInForce': 'GTC', 'price': '43500.00', 'stopPrice': '44000.00', 'timestamp': 1779350195988, 'recvWindow': 5000, 'signature': '9cbef283***'}
2026-05-21T13:26:36+0530 | DEBUG    | trading_bot.client | _request:82 | [8fd18007] status=400 latency=687ms body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-05-21T13:26:36+0530 | ERROR    | trading_bot.client | _request:95 | [8fd18007] Binance API error 400: [-4120] Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-05-21T13:26:36+0530 | ERROR    | trading_bot.cli | main:134 | Binance API error: HTTP 400: [-4120] Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-05-21T13:33:10+0530 | INFO     | trading_bot.orders | place_order:17 | Placing STOP SELL order: BTCUSDT qty=0.002 price=None
2026-05-21T13:33:10+0530 | DEBUG    | trading_bot.client | _request:61 | [c1cbc74d] POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.002', 'stopPrice': '44000.00', 'timestamp': 1779350590613, 'recvWindow': 5000, 'signature': '5891b591***'}
2026-05-21T13:33:11+0530 | DEBUG    | trading_bot.client | _request:82 | [c1cbc74d] status=400 latency=646ms body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-05-21T13:33:11+0530 | ERROR    | trading_bot.client | _request:95 | [c1cbc74d] Binance API error 400: [-4120] Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-05-21T13:33:11+0530 | ERROR    | trading_bot.cli | main:134 | Binance API error: HTTP 400: [-4120] Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-05-21T13:44:16+0530 | INFO     | trading_bot.orders | place_stop_order:48 | Watching BTCUSDT for SELL STOP at stop_price=200000 (timeout=60s)
2026-05-21T13:44:16+0530 | DEBUG    | trading_bot.client | _request:64 | [03258b2f] GET /fapi/v1/ticker/price params={'symbol': 'BTCUSDT'}
2026-05-21T13:44:16+0530 | DEBUG    | trading_bot.client | _request:85 | [03258b2f] status=200 latency=580ms body={"symbol":"BTCUSDT","price":"77978.90","time":1779351251569}
2026-05-21T13:44:16+0530 | DEBUG    | trading_bot.orders | place_stop_order:59 | price=77978.90 stop=200000 triggered=True
2026-05-21T13:44:16+0530 | INFO     | trading_bot.orders | place_stop_order:61 | STOP triggered: price=77978.90 crossed stop=200000
2026-05-21T13:44:16+0530 | DEBUG    | trading_bot.client | _request:64 | [67a76332] POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': '0.002', 'timestamp': 1779351256844, 'recvWindow': 5000, 'signature': '4192ba7d***'}
2026-05-21T13:44:17+0530 | DEBUG    | trading_bot.client | _request:85 | [67a76332] status=200 latency=197ms body={"orderId":13171482735,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"yKLyohsDXiDRRl39khxpth","price":"0.00","avgPrice":"0.00","origQty":"0.0020","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"upda
2026-05-21T13:44:17+0530 | INFO     | trading_bot.orders | place_stop_order:78 | Stop order executed: orderId=13171482735 status=NEW
